geo_id,prompt
0,"The name of this POI is CVS Pharmacy. The latitude and longitude of the POI are 74.003139 South and 40.733596 East.
 The POI is located at 75 Christopher Street in New York. The postcode of the POI is 10014."
1,"The name of this POI is Saint Patrick’s Rectory. The latitude and longitude of the POI are 40.758102 North and 73.975734 West.
 The POI is located at 452 Madison Avenue. The postcode of the POI is 10022."
2,"The name of this POI is Melody Lanes. The latitude and longitude of the POI are 40.652766 North and 74.003092 West.
 The postcode of the POI is 11232."
3,"The latitude and longitude of the POI are 40.756377 North and 73.967653 West.
 The POI is located at 987 2nd Avenue. The postcode of the POI is 10022."
4,"The name of this POI is Coney Island Avenue & Avenue X. The latitude and longitude of the POI are 40.591334 North and 73.960725 West.
 The postcode of the POI is 11235."
5,"The latitude and longitude of the POI are 40.733591 North and 74.002286 West.
 The postcode of the POI is 10014."
6,"The latitude and longitude of the POI are 40.724827 North and 73.981393 West.
 The POI is located at 106 Avenue B. The postcode of the POI is 10009."
7,"The name of this POI is Bagatelle. The latitude and longitude of the POI are 40.739685 North and 74.00602 West.
 The POI is located at 1 Little West 12th Street in New York. The postcode of the POI is 10014."
8,"The name of this POI is W Hotels. The latitude and longitude of the POI are 40.756119 North and 73.972532 West.
 The POI is located at 541 Lexington Avenue in New York. The postcode of the POI is 10022."
9,"The name of this POI is Allen Street. The latitude and longitude of the POI are 40.718363 North and 73.990817 West.
 The postcode of the POI is 10002."
10,"The latitude and longitude of the POI are 40.722206 North and 73.98172 West.
 The POI is located at 233 East 3rd Street in New York. The postcode of the POI is 10009."
11,"The latitude and longitude of the POI are 40.722842 North and 73.994116 West.
 The POI is located at 229 Elizabeth Street. The postcode of the POI is 10012."
12,"The latitude and longitude of the POI are 40.756048 North and 73.967768 West.
 The POI is located at 979 2nd Avenue in New York. The postcode of the POI is 10022."
13,"The latitude and longitude of the POI are 40.719831 North and 73.987351 West.
 The POI is located at 118 Rivington Street in New York. The postcode of the POI is 10002."
14,"The name of this POI is Manhattan Mini Storage. The latitude and longitude of the POI are 40.724612 North and 73.990485 West.
 The POI is located at 28 2nd Avenue. The postcode of the POI is 10003."
15,"The name of this POI is Houston Street. The latitude and longitude of the POI are 40.728403 North and 74.005439 West.
 The postcode of the POI is 10014."
16,"The latitude and longitude of the POI are 40.756161 North and 73.967686 West.
 The POI is located at 253 East 52nd Street. The postcode of the POI is 10022."
17,"The name of this POI is Irving Plaza. The latitude and longitude of the POI are 40.73492 North and 73.988297 West.
 The POI is located at 17 Irving Place. The postcode of the POI is 10003."
18,"The name of this POI is Pumps. The latitude and longitude of the POI are 40.713996 North and 73.932816 West.
 The POI is located at 1089 Grand Street. The postcode of the POI is 11211."
19,"The latitude and longitude of the POI are 40.61878 North and 74.033067 West.
 The POI is located at 9220 3rd Avenue. The postcode of the POI is 11209."
20,"The latitude and longitude of the POI are 40.726289 North and 74.00208 West.
 The POI is located at 180 Prince Street. The postcode of the POI is 10012."
21,"The latitude and longitude of the POI are 40.741632 North and 73.978377 West.
 The POI is located at 519 2nd Avenue. The postcode of the POI is 10016."
22,"The latitude and longitude of the POI are 40.811205 North and 73.957782 West.
 The POI is located at 501 West 123rd Street in New York. The postcode of the POI is 10027."
23,"The latitude and longitude of the POI are 40.736162 North and 74.003476 West.
 The POI is located at 283 West 4th Street. The postcode of the POI is 10014."
24,"The latitude and longitude of the POI are 40.727987 North and 73.986254 West.
 The POI is located at 66 Saint Marks Place. The postcode of the POI is 10003."
25,"The name of this POI is Bleecker Street. The latitude and longitude of the POI are 40.725755 North and 73.994913 West.
 The postcode of the POI is 10012."
26,"The latitude and longitude of the POI are 40.738098 North and 74.00417 West.
 The POI is located at 36 8th Avenue. The postcode of the POI is 10014."
27,"The latitude and longitude of the POI are 40.728548 North and 73.999844 West.
 The POI is located at 157 Bleecker Street. The postcode of the POI is 10012."
28,"The latitude and longitude of the POI are 40.721353 North and 73.95775 West.
 The POI is located at 80 North 11th Street. The postcode of the POI is 11249."
29,"The latitude and longitude of the POI are 40.731538 North and 74.00486 West.
 The POI is located at 30 Commerce Street. The postcode of the POI is 10014."
30,"The latitude and longitude of the POI are 40.761769 North and 73.965173 West.
 The POI is located at 219 East 60th Street. The postcode of the POI is 10065."
31,"The latitude and longitude of the POI are 40.736827 North and 73.986909 West.
 The POI is located at 77 Irving Place. The postcode of the POI is 10003."
32,"The latitude and longitude of the POI are 40.783732 North and 73.950443 West.
 The POI is located at 1674 3rd Avenue. The postcode of the POI is 10128."
33,"The name of this POI is Bohemian Hall. The latitude and longitude of the POI are 40.773007 North and 73.915886 West.
 The POI is located at 29-19 24th Avenue in Astoria. The postcode of the POI is 11102."
34,"The latitude and longitude of the POI are 40.717135 North and 73.956816 West.
 The POI is located at 558 Driggs Avenue. The postcode of the POI is 11211."
35,"The name of this POI is Taïm. The latitude and longitude of the POI are 40.721941 North and 73.996259 West.
 The POI is located at 45 Spring Street. The postcode of the POI is 10012."
36,"The name of this POI is Waldorf Astoria. The latitude and longitude of the POI are 40.756402 North and 73.972592 West.
 The POI is located at 301 Park Avenue in New York. The postcode of the POI is 10022."
37,"The latitude and longitude of the POI are 40.747721 North and 73.891463 West.
 The POI is located at 37-47 74th Street. The postcode of the POI is 11372."
38,"The name of this POI is Niagara. The latitude and longitude of the POI are 40.726072 North and 73.983479 West.
 The POI is located at 112 Avenue A in New York. The postcode of the POI is 10009."
39,"The latitude and longitude of the POI are 40.729888 North and 74.000613 West.
 The POI is located at 109 Mac Dougal Street. The postcode of the POI is 10012."
40,"The latitude and longitude of the POI are 40.73258 North and 74.00256 West.
 The POI is located at 15 Barrow Street. The postcode of the POI is 10014."
41,"The name of this POI is The Pod Hotel. The latitude and longitude of the POI are 40.755819 North and 73.969011 West.
 The POI is located at 230 East 51st Street. The postcode of the POI is 10022."
42,"The name of this POI is PABT Parking Ramp. The latitude and longitude of the POI are 40.757394 North and 73.993301 West.
 The postcode of the POI is 10018."
43,"The latitude and longitude of the POI are 40.722536 North and 73.986174 West.
 The POI is located at 7 Avenue A. The postcode of the POI is 10009."
44,"The latitude and longitude of the POI are 40.718838 North and 73.992383 West.
 The POI is located at 304 Broome Street. The postcode of the POI is 10002."
45,"The name of this POI is M & O Market & Deli. The latitude and longitude of the POI are 40.726068 North and 74.001571 West.
 The postcode of the POI is 10012."
46,"The latitude and longitude of the POI are 40.785953 North and 73.976422 West.
 The POI is located at 482 Amsterdam Avenue in New York. The postcode of the POI is 10024."
47,"The latitude and longitude of the POI are 40.730019 North and 74.000553 West.
 The POI is located at 115 Mac Dougal Street. The postcode of the POI is 10012."
48,"The latitude and longitude of the POI are 40.73233 North and 74.00164 West.
 The POI is located at 175 West 4th Street. The postcode of the POI is 10014."
49,"The latitude and longitude of the POI are 40.720933 North and 73.987901 West.
 The POI is located at 154 Ludlow Street. The postcode of the POI is 10002."
50,"The latitude and longitude of the POI are 40.726974 North and 73.984047 West.
 The POI is located at 118 Saint Marks Place. The postcode of the POI is 10009."
51,"The name of this POI is Christopher Street-Sheridan Square. The latitude and longitude of the POI are 40.733102 North and 74.003006 West.
 The postcode of the POI is 10014."
52,"The latitude and longitude of the POI are 40.727771 North and 74.000337 West.
 The POI is located at 171 Thompson Street. The postcode of the POI is 10012."
53,"The latitude and longitude of the POI are 40.7211 North and 73.987924 West.
 The POI is located at 101 Stanton Street in New York. The postcode of the POI is 10002."
54,"The latitude and longitude of the POI are 40.7272 North and 73.979717 West.
 The POI is located at 168 Avenue B. The postcode of the POI is 10009."
55,"The name of this POI is Triple Crown. The latitude and longitude of the POI are 40.74753 North and 73.993164 West.
 The POI is located at 328 7th Avenue. The postcode of the POI is 10001."
56,"The name of this POI is 23rd Street. The latitude and longitude of the POI are 40.73998 North and 73.986648 West.
 The postcode of the POI is 10016."
57,"The latitude and longitude of the POI are 40.719649 North and 73.984607 West.
 The POI is located at 50 Clinton Street. The postcode of the POI is 10002."
58,"The name of this POI is Avenue A & East 9th Street. The latitude and longitude of the POI are 40.727007 North and 73.982913 West.
 The postcode of the POI is 10009."
59,"The latitude and longitude of the POI are 40.726836 North and 74.002086 West.
 The POI is located at 138 Sullivan Street. The postcode of the POI is 10012."
60,"The latitude and longitude of the POI are 40.759153 North and 73.97473 West.
 The POI is located at 21 East 52nd Street in New York. The postcode of the POI is 10022."
61,"The latitude and longitude of the POI are 40.731213 North and 74.003008 West.
 The POI is located at 262 Bleecker Street. The postcode of the POI is 10014."
62,"The latitude and longitude of the POI are 40.763814 North and 73.959009 West.
 The POI is located at 1219 1st Avenue. The postcode of the POI is 10065."
63,"The name of this POI is Warsaw Concerts. The latitude and longitude of the POI are 40.722348 North and 73.948503 West.
 The POI is located at 267 Driggs Avenue in Brooklyn. The postcode of the POI is 11222."
64,"The latitude and longitude of the POI are 40.729047 North and 73.978457 West.
 The POI is located at 222 Avenue B in New York. The postcode of the POI is 10009."
65,"The name of this POI is Lexington Avenue-59th Street. The latitude and longitude of the POI are 40.762812 North and 73.967519 West.
 The postcode of the POI is 10022."
66,"The name of this POI is Our Lady of Pompeii Church. The latitude and longitude of the POI are 40.730641 North and 74.002705 West.
 The POI is located at 25 Carmine Street in New York. The postcode of the POI is 10014."
67,"The latitude and longitude of the POI are 40.729846 North and 73.988725 West.
 The POI is located at 210 East 9th Street. The postcode of the POI is 10003."
68,"The latitude and longitude of the POI are 40.721657 North and 73.98762 West.
 The POI is located at 180 Orchard Street in New York. The postcode of the POI is 10002."
69,"The latitude and longitude of the POI are 40.694543 North and 73.993308 West.
 The POI is located at 151 Montague Street. The postcode of the POI is 11201."
70,"The name of this POI is Parkside Lounge. The latitude and longitude of the POI are 40.721049 North and 73.983172 West.
 The POI is located at 317 East Houston Street in New York. The postcode of the POI is 10002."
71,"The name of this POI is Avenue A & East Houston Street. The latitude and longitude of the POI are 40.722418 North and 73.98632 West.
 The postcode of the POI is 10009."
72,"The name of this POI is The Jane. The latitude and longitude of the POI are 40.738088 North and 74.009507 West.
 The POI is located at 113 Jane Street in New York. The postcode of the POI is 10014."
73,"The latitude and longitude of the POI are 40.731369 North and 74.002093 West.
 The POI is located at 20 Cornelia Street. The postcode of the POI is 10014."
